scenario,round,client_id,class,precision,recall,f1
Non-IID,21,9,8,1.0,0.8,0.888888888888889
Non-IID,21,9,9,0.9,0.9,0.9
Non-IID,21,14,0,1.0,0.9,0.9473684210526316
Non-IID,21,14,1,1.0,1.0,1.0
Non-IID,21,14,2,1.0,0.7,0.8235294117647058
Non-IID,21,14,3,0.6666666666666666,1.0,0.8
Non-IID,21,14,4,0.7692307692307693,1.0,0.8695652173913044
Non-IID,21,14,5,1.0,0.8,0.888888888888889
Non-IID,21,14,6,0.8888888888888888,0.8,0.8421052631578948
Non-IID,21,14,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,21,14,8,1.0,0.8,0.888888888888889
Non-IID,21,14,9,0.9,0.9,0.9
Non-IID,22,7,0,1.0,0.9,0.9473684210526316
Non-IID,22,7,1,1.0,1.0,1.0
Non-IID,22,7,2,0.7142857142857143,1.0,0.8333333333333333
Non-IID,22,7,3,0.0,0.0,0.0
Non-IID,22,7,4,0.6923076923076923,0.9,0.7826086956521738
Non-IID,22,7,5,0.34615384615384615,0.9,0.5
Non-IID,22,7,6,0.7692307692307693,1.0,0.8695652173913044
Non-IID,22,7,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,22,7,8,0.0,0.0,0.0
Non-IID,22,7,9,1.0,0.3,0.4615384615384615
Non-IID,22,2,0,1.0,0.9,0.9473684210526316
Non-IID,22,2,1,1.0,1.0,1.0
Non-IID,22,2,2,0.7142857142857143,1.0,0.8333333333333333
Non-IID,22,2,3,0.0,0.0,0.0
Non-IID,22,2,4,0.6923076923076923,0.9,0.7826086956521738
Non-IID,22,2,5,0.34615384615384615,0.9,0.5
Non-IID,22,2,6,0.7692307692307693,1.0,0.8695652173913044
Non-IID,22,2,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,22,2,8,0.0,0.0,0.0
Non-IID,22,2,9,1.0,0.3,0.4615384615384615
Non-IID,23,18,0,1.0,0.8,0.888888888888889
Non-IID,23,18,1,0.8333333333333334,1.0,0.9090909090909091
Non-IID,23,18,2,0.9090909090909091,1.0,0.9523809523809523
Non-IID,23,18,3,0.8888888888888888,0.8,0.8421052631578948
Non-IID,23,18,4,0.9,0.9,0.9
Non-IID,23,18,5,0.9,0.9,0.9
Non-IID,23,18,6,0.7142857142857143,1.0,0.8333333333333333
Non-IID,23,18,7,1.0,1.0,1.0
Non-IID,23,18,8,0.9,0.9,0.9
Non-IID,23,18,9,1.0,0.6,0.7499999999999999
Non-IID,23,8,0,1.0,0.8,0.888888888888889
Non-IID,23,8,1,0.8333333333333334,1.0,0.9090909090909091
Non-IID,23,8,2,0.9090909090909091,1.0,0.9523809523809523
Non-IID,23,8,3,0.8888888888888888,0.8,0.8421052631578948
Non-IID,23,8,4,0.9,0.9,0.9
Non-IID,23,8,5,0.9,0.9,0.9
Non-IID,23,8,6,0.7142857142857143,1.0,0.8333333333333333
Non-IID,23,8,7,1.0,1.0,1.0
Non-IID,23,8,8,0.9,0.9,0.9
Non-IID,23,8,9,1.0,0.6,0.7499999999999999
Non-IID,24,9,0,1.0,0.8,0.888888888888889
Non-IID,24,9,1,1.0,0.9,0.9473684210526316
Non-IID,24,9,2,1.0,0.8,0.888888888888889
Non-IID,24,9,3,0.5555555555555556,1.0,0.7142857142857143
Non-IID,24,9,4,0.9,0.9,0.9
Non-IID,24,9,5,1.0,0.3,0.4615384615384615
Non-IID,24,9,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,24,9,7,1.0,1.0,1.0
Non-IID,24,9,8,0.7142857142857143,1.0,0.8333333333333333
Non-IID,24,9,9,1.0,0.8,0.888888888888889
Non-IID,24,8,0,1.0,0.8,0.888888888888889
Non-IID,24,8,1,1.0,0.9,0.9473684210526316
Non-IID,24,8,2,1.0,0.8,0.888888888888889
Non-IID,24,8,3,0.5555555555555556,1.0,0.7142857142857143
